R,0,1,47,3,4,50,6,7,53,15,12,9,16,13,10,17,14,11,44,19,20,41,22,23,38,25,26,27,28,29,30,31,32,33,34,35,36,37,2,39,40,5,42,43,8,45,46,24,48,49,21,51,52,18
R',0,1,38,3,4,41,6,7,44,11,14,17,10,13,16,9,12,15,53,19,20,50,22,23,47,25,26,27,28,29,30,31,32,33,34,35,36,37,24,39,40,21,42,43,18,45,46,2,48,49,5,51,52,8
U,9,10,11,3,4,5,6,7,8,18,19,20,12,13,14,15,16,17,27,28,29,21,22,23,24,25,26,0,1,2,30,31,32,33,34,35,42,39,36,43,40,37,42,41,38,45,46,47,48,49,50,51,52,53
U',27,28,29,3,4,5,6,7,8,0,1,2,12,13,14,15,16,17,9,10,11,21,22,23,24,25,26,18,19,20,30,31,32,33,34,35,38,41,44,37,40,43,36,39,42,45,46,47,48,49,50,51,52,53
B,0,1,2,3,4,5,6,7,8,9,10,53,12,13,52,15,16,51,24,21,18,25,22,19,26,23,20,38,28,29,37,31,32,36,34,35,11,14,17,39,40,41,42,43,44,45,46,47,48,49,50,27,30,33
B',0,1,2,3,4,5,6,7,8,9,10,36,12,13,37,15,16,38,20,23,26,19,22,25,18,21,24,51,28,29,52,31,32,53,34,35,33,30,27,39,40,41,42,43,44,45,46,47,48,49,50,17,14,11
M,0,37,2,3,40,5,6,43,8,9,10,11,12,13,14,15,16,17,18,52,20,21,49,23,24,46,26,27,28,29,30,31,32,33,34,35,36,25,38,39,22,41,42,19,44,45,1,47,48,4,50,51,7,53
M',0,46,2,3,49,5,6,52,8,9,10,11,12,13,14,15,16,17,18,43,20,21,40,23,24,37,26,27,28,29,30,31,32,33,34,35,36,1,38,39,4,41,42,7,44,45,25,47,48,22,50,51,19,53
E,0,1,2,30,31,32,6,7,8,9,10,11,3,4,5,15,16,17,18,19,20,12,13,14,24,25,26,27,28,29,21,22,23,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
E',0,1,2,12,13,14,6,7,8,9,10,11,21,22,23,15,16,17,18,19,20,30,31,32,24,25,26,27,28,29,3,4,5,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
S,0,1,2,3,4,5,6,7,8,9,39,11,12,40,14,15,41,17,18,19,20,21,22,23,24,25,26,27,48,29,30,49,32,33,50,35,36,37,38,34,31,28,42,43,44,45,46,47,10,13,16,51,52,53
S',0,1,2,3,4,5,6,7,8,9,50,11,12,49,14,15,48,17,18,19,20,21,22,23,24,25,26,27,41,29,30,40,32,33,39,35,36,37,38,10,13,16,42,43,44,45,46,47,28,31,34,51,52,53

